"Player","Team","Points","Cost"
"Joelinton","Newcastle",33,"£5.9"
"Cornet","West Ham",5,"£5.9"
"Guedes","Wolves",26,"£5.9"
"Paquetá","West Ham",22,"£5.9"
"Jorginho","Chelsea",37,"£5.8"
"Harrison","Leeds",45,"£5.8"
"Almirón","Newcastle",87,"£5.8"
"Lucas Moura","Tottenham",7,"£5.8"
"Fábio Vieira","Arsenal",16,"£5.7"
"Buendía","Aston Villa",28,"£5.7"
"Pulisic","Chelsea",22,"£5.7"
"Gallagher","Chelsea",21,"£5.7"
"Eze","Crystal Palace",58,"£5.7"
"Wilson","Fulham",11,"£5.7"
"Rodri","Manchester City",36,"£5.7"
"Bruno Guimarães","Newcastle",49,"£5.7"
"Hwang","Wolves",16,"£5.7"
"Smith Rowe","Arsenal",4,"£5.6"
"Groß","Brighton",68,"£5.6"
"Iwobi","Everton",56,"£5.6"
"Benrahma","West Ham",32,"£5.6"
"Janelt","Brentford",36,"£5.5"
"Ziyech","Chelsea",5,"£5.5"
"De Cordova-Reid","Fulham",44,"£5.5"
"Aaronson","Leeds",37,"£5.5"
"Højbjerg","Tottenham",56,"£5.5"
"Bergwijn","Tottenham",0,"£5.5"
"Neves","Wolves",54,"£5.5"
"Adama","Wolves",25,"£5.5"
"Gibbs-White","Nottingham Forest",44,"£5.5"
"Willian","Fulham",26,"£5.5"
"Wissa","Brentford",44,"£5.4"
"Mac Allister","Brighton",53,"£5.4"
"Olise","Crystal Palace",35,"£5.4"
"Townsend","Everton",0,"£5.4"
"Gray","Everton",38,"£5.4"
"Gordon","Everton",39,"£5.4"
"Kebano","Fulham",35,"£5.4"
"Carvalho","Liverpool",24,"£5.4"
"Bentancur","Tottenham",45,"£5.4"
"Lingard","Nottingham Forest",26,"£5.4"
"Pépé","Arsenal",0,"£5.3"
"Brooks","Bournemouth",0,"£5.3"
"Christie","Bournemouth",26,"£5.3"
"Billing","Bournemouth",56,"£5.3"
"Nørgaard","Brentford",15,"£5.3"
"Mwepu","Brighton",11,"£5.3"
"Hudson-Odoi","Chelsea",0,"£5.3"
"Ayew","Crystal Palace",27,"£5.3"
"Dele","Everton",2,"£5.3"
"A.Doucouré","Everton",7,"£5.3"
"Henderson","Liverpool",19,"£5.3"
"Fabinho","Liverpool",23,"£5.3"
"Redmond","Southampton",1,"£5.3"
"Podence","Wolves",43,"£5.3"
"Aribo","Southampton",37,"£5.3"
"Ramsey","Aston Villa",45,"£5.2"
"Lowe","Bournemouth",1,"£5.2"
"Anthony","Bournemouth",16,"£5.2"
"Thiago","Liverpool",12,"£5.2"
"Fraser","Newcastle",11,"£5.2"
"Elyounoussi","Southampton",25,"£5.2"
"Soucek","West Ham",41,"£5.2"
"Lewis-Potter","Brentford",11,"£5.2"
"McNeil","Everton",32,"£5.2"
"Xhaka","Arsenal",61,"£5.1"
"McGinn","Aston Villa",24,"£5.1"
"Fred","Manchester Utd",23,"£5.1"
"Van de Beek","Manchester Utd",5,"£5.1"
"Lanzini","West Ham",5,"£5.1"
"Fornals","West Ham",31,"£5.1"
"Damsgaard","Brentford",9,"£5.1"
"March","Brighton",42,"£5.0"
"Caicedo","Brighton",32,"£5.0"
"Loftus-Cheek","Chelsea",24,"£5.0"
"Palhinha","Fulham",36,"£5.0"
"Roberts","Leeds",0,"£5.0"
"Elliott","Liverpool",29,"£5.0"
"Yates","Nottingham Forest",28,"£5.0"
"Xande Silva","Nottingham Forest",0,"£5.0"
"Tella","Southampton",0,"£5.0"
"Djenepo","Southampton",18,"£5.0"
"Vlasic","West Ham",0,"£5.0"
"Chiquinho","Wolves",0,"£5.0"
"C.Doucouré","Crystal Palace",23,"£5.0"
"Bryan","Tottenham",1,"£5.0"
"Gueye","Everton",16,"£5.0"
"Zakaria","Chelsea",0,"£5.0"
"Traoré","Aston Villa",0,"£4.9"
"Cook","Bournemouth",31,"£4.9"
"Lallana","Brighton",30,"£4.9"
"Mitoma","Brighton",23,"£4.9"
"Barkley","Chelsea",0,"£4.9"
"Kovacic","Chelsea",18,"£4.9"
"Davies","Everton",8,"£4.9"
"Roca","Leeds",27,"£4.9"
"Dewsbury-Hall","Leicester",47,"£4.9"
"Chamberlain","Liverpool",2,"£4.9"
"Jones","Liverpool",5,"£4.9"
"McTominay","Manchester Utd",13,"£4.9"
"Willock","Newcastle",45,"£4.9"
"Lolley","Nottingham Forest",0,"£4.9"
"Mighten","Nottingham Forest",1,"£4.9"
"Neto","Wolves",18,"£4.9"
"Rothwell","Bournemouth",2,"£4.9"
"Adams","Leeds",24,"£4.9"
"Tavernier","Bournemouth",47,"£4.9"
"Mangala","Nottingham Forest",11,"£4.9"
"Solomon","Fulham",1,"£4.9"
"Onana","Everton",31,"£4.9"
"Freuler","Nottingham Forest",18,"£4.9"
"Casemiro","Manchester Utd",28,"£4.9"
"Partey","Arsenal",40,"£4.8"
"Maitland-Niles","Southampton",9,"£4.8"
"Nelson","Arsenal",19,"£4.8"
"Douglas Luiz","Aston Villa",31,"£4.8"
"El Ghazi","Aston Villa",0,"£4.8"
"Kamara","Aston Villa",13,"£4.8"
"Stanislas","Bournemouth",4,"£4.8"
"Lerma","Bournemouth",38,"£4.8"
"Ghoddos","Brentford",6,"£4.8"
"Jensen","Brentford",45,"£4.8"
"Onyeka","Brentford",16,"£4.8"
"Kanté","Chelsea",5,"£4.8"
"McArthur","Crystal Palace",0,"£4.8"
"Schlupp","Crystal Palace",26,"£4.8"
"Hughes","Crystal Palace",7,"£4.8"
"Allan","Everton",0,"£4.8"
"Cavaleiro","Fulham",0,"£4.8"
"Ndidi","Leicester",14,"£4.8"
"Phillips","Manchester City",1,"£4.8"
"Shelvey","Newcastle",3,"£4.8"
"Walcott","Southampton",2,"£4.8"
"Romeu","Southampton",2,"£4.8"
"Rice","West Ham",43,"£4.8"
"O'Brien","Nottingham Forest",19,"£4.8"
"Praet","Leicester",10,"£4.8"
"Matheus","Wolves",28,"£4.8"
"Arthur","Liverpool",0,"£4.8"
"Edozie","Southampton",7,"£4.8"
"Marcondes","Bournemouth",1,"£4.7"
"Dembélé","Bournemouth",1,"£4.7"
"Cairney","Fulham",14,"£4.7"
"Knockaert","Fulham",0,"£4.7"
"Albrighton","Leicester",3,"£4.7"
"Pérez","Leicester",9,"£4.7"
"Keita","Liverpool",0,"£4.7"
"Elanga","Manchester Utd",16,"£4.7"
"S.Armstrong","Southampton",24,"£4.7"
"Bissouma","Tottenham",16,"£4.7"
"Dendoncker","Aston Villa",18,"£4.7"
"Moutinho","Wolves",22,"£4.7"
"Marquinhos","Arsenal",1,"£4.6"
"Klich","Leeds",10,"£4.6"
"Andreas","Fulham",59,"£4.6"
"Torreira","Arsenal",0,"£4.5"
"Bailey","Aston Villa",48,"£4.5"
"Iroegbunam","Aston Villa",0,"£4.5"
"Philogene-Bidace","Aston Villa",0,"£4.5"
"Baptiste","Brentford",18,"£4.5"
"Bidstrup","Brentford",0,"£4.5"
"Sarmiento","Brighton",2,"£4.5"
"Richards","Brighton",0,"£4.5"
"Kozłowski","Brighton",0,"£4.5"
