Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
444,Adam Webster,eng ENG,DF,Brighton,27-304,1995,12,12,1080,12.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.0,1.1,0.08,0.00,0.09,0.08,0.09,Matches,c40b6180
445,Danny Welbeck,eng ENG,FW,Brighton,31-343,1990,11,10,912,10.1,0,2,0,0,0,0,0,0.00,0.20,0.20,0.00,0.20,3.0,3.0,1.8,4.8,0.29,0.18,0.47,0.29,0.47,Matches,ce5143da
446,Ben White,eng ENG,DF,Arsenal,25-027,1997,12,12,970,10.8,0,2,0,0,0,2,0,0.00,0.19,0.19,0.00,0.19,0.1,0.1,0.9,1.0,0.01,0.08,0.09,0.01,0.09,Matches,35e413f1
447,Neco Williams,wls WAL,DF,Nott'ham Forest,21-205,2001,13,11,983,10.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,1.0,1.9,0.08,0.09,0.17,0.08,0.17,Matches,dd323728
448,Willian,br BRA,MF,Fulham,34-087,1988,6,4,395,4.4,1,1,1,0,0,0,0,0.23,0.23,0.46,0.23,0.46,1.6,1.6,1.0,2.7,0.37,0.24,0.61,0.37,0.61,Matches,8b9ebd03
449,Joe Willock,eng ENG,MF,Newcastle Utd,23-076,1999,13,11,958,10.6,0,2,0,0,0,0,0,0.00,0.19,0.19,0.00,0.19,2.6,2.6,2.9,5.4,0.24,0.27,0.51,0.24,0.51,Matches,a3b03921
450,Callum Wilson,eng ENG,FW,Newcastle Utd,30-250,1992,9,9,727,8.1,6,2,5,1,1,1,0,0.74,0.25,0.99,0.62,0.87,6.0,5.3,0.6,5.9,0.75,0.08,0.83,0.65,0.73,Matches,c596fcb0
451,Harry Wilson,wls WAL,MF,Fulham,25-227,1997,5,1,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.14,0.05,0.19,0.14,0.19,Matches,c6dc9ecd
452,Yoane Wissa,cd COD,FWMF,Brentford,26-062,1996,13,5,535,5.9,2,1,2,0,0,1,0,0.34,0.17,0.50,0.34,0.50,2.1,2.1,1.0,3.1,0.36,0.16,0.52,0.36,0.52,Matches,2500cef9
453,Chris Wood,nz NZL,FW,Newcastle Utd,30-332,1991,12,1,152,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.5,0.27,0.05,0.31,0.27,0.31,Matches,4e9a0555
454,Joe Worrall,eng ENG,DF,Nott'ham Forest,25-298,1997,10,6,627,7.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.6,0.02,0.07,0.09,0.02,0.09,Matches,a5212312
455,Granit Xhaka,ch SUI,MF,Arsenal,30-038,1992,12,12,1061,11.8,3,3,3,0,0,2,0,0.25,0.25,0.51,0.25,0.51,1.4,1.4,1.8,3.2,0.12,0.15,0.27,0.12,0.27,Matches,e61b8aee
456,Ryan Yates,eng ENG,MF,Nott'ham Forest,24-348,1997,11,9,853,9.5,0,1,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,1.5,1.5,0.6,2.0,0.15,0.06,0.21,0.15,0.21,Matches,c1fe2a48
457,Ashley Young,eng ENG,DF,Aston Villa,37-118,1985,9,7,695,7.7,1,0,1,0,0,2,0,0.13,0.00,0.13,0.13,0.13,0.1,0.1,0.7,0.8,0.02,0.09,0.11,0.02,0.11,Matches,be927d03
458,Wilfried Zaha,ci CIV,FWMF,Crystal Palace,29-359,1992,11,11,967,10.7,5,1,5,0,1,3,0,0.47,0.09,0.56,0.47,0.56,3.5,2.6,1.4,4.0,0.32,0.13,0.45,0.24,0.37,Matches,b2bc3b1f
459,Jordan Zemura,zw ZIM,DF,Bournemouth,22-355,1999,10,8,698,7.8,0,1,0,0,0,1,0,0.00,0.13,0.13,0.00,0.13,0.0,0.0,0.7,0.7,0.00,0.09,0.09,0.00,0.09,Matches,e8271ad9
460,Oleksandr Zinchenko,ua UKR,DF,Arsenal,25-324,1996,5,5,393,4.4,0,1,0,0,0,0,0,0.00,0.23,0.23,0.00,0.23,0.1,0.1,0.3,0.4,0.03,0.06,0.09,0.03,0.09,Matches,51cf8561
461,Hakim Ziyech,ma MAR,MF,Chelsea,29-230,1993,4,1,134,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.2,0.10,0.05,0.16,0.10,0.16,Matches,6622454d
462,Kurt Zouma,fr FRA,DF,West Ham,28-008,1994,12,12,1080,12.0,1,0,1,0,0,0,0,0.08,0.00,0.08,0.08,0.08,1.1,1.1,0.0,1.1,0.09,0.00,0.09,0.09,0.09,Matches,ce4246f5
463,Martin Ødegaard,no NOR,MF,Arsenal,23-322,1998,11,11,898,10.0,4,2,4,0,0,2,0,0.40,0.20,0.60,0.40,0.60,2.5,2.5,2.4,4.9,0.25,0.24,0.49,0.25,0.49,Matches,79300479
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">FBref.com</a>: <a href=""https://fbref.com/en/comps/9/stats/Premier-League-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_standard"">View Original Table</a><br>Generated 11/4/2022.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
